subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_092_session_01,0.64167,:n,0.04304,-1.72,0.575,:b,0.19459,-0.86,0.65,:n,0.03575,-1.8
subject_093_session_01,0.775,:g,<0.0001,-5.24,0.9,:g,<0.0001,-8.41,0.825,:g,<0.0001,-5.12
subject_094_session_01,0.71667,:g,0.00058,-3.25,0.9,:g,<0.0001,-8.52,0.58333,:b,0.13116,-1.12
subject_096_session_01,0.48333,:b,0.45155,-0.12,0.45,:b,0.68687,0.49,0.5,:b,0.30262,-0.52
subject_097_session_01,0.6,:b,0.1071,-1.24,0.725,:n,0.01688,-2.12,0.5,:b,0.3099,-0.5
subject_098_session_01,0.61667,:n,0.04937,-1.65,0.75833,:g,<0.0001,-4.01,0.64167,:n,0.02236,-2.01
subject_099_session_01,0.33333,:b,0.98687,2.22,0.41667,:b,0.84767,1.03,0.475,:b,0.54821,0.12
subject_100_session_01,0.775,:g,0.00362,-2.69,0.875,:g,<0.0001,-5.02,0.5,:b,0.55601,0.14
subject_103_session_01,0.39167,:b,0.92819,1.46,0.725,:g,0.00148,-2.97,0.7,:g,0.00489,-2.58
subject_104_session_01,0.80833,:g,<0.0001,-5.04,0.73333,:g,0.00028,-3.45,0.64167,:n,0.03535,-1.81
subject_105_session_01,0.6,:b,0.10986,-1.23,0.55833,:b,0.11731,-1.19,0.5,:b,0.2076,-0.81
subject_106_session_01,0.6,:b,0.17139,-0.95,0.8,:g,<0.0001,-3.84,0.575,:b,0.43885,-0.15
subject_107_session_01,0.66667,:n,0.01689,-2.12,0.675,:n,0.00656,-2.48,0.475,:b,0.63386,0.34
subject_108_session_01,0.54167,:b,0.32065,-0.47,0.71667,:g,0.00373,-2.68,0.48333,:b,0.52408,0.06
subject_109_session_01,0.35,:b,0.97505,1.96,0.44167,:b,0.80762,0.87,0.53333,:b,0.39687,-0.26
