subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.6875,:g,<0.0001,-5.59,0.83125,:g,<0.0001,-11.28,0.85,:g,<0.0001,-12.4
subject_02_session_01,0.58482,:n,0.01495,-2.17,0.72411,:g,<0.0001,-6.28,0.67321,:g,<0.0001,-4.53
subject_03_session_01,0.60625,:g,0.0026,-2.79,0.75625,:g,<0.0001,-7.41,0.70625,:g,<0.0001,-5.72
subject_05_session_01,0.61875,:g,0.00072,-3.19,0.96875,:g,<0.0001,-34.0,0.89375,:g,<0.0001,-15.98
subject_06_session_01,0.61429,:g,0.00192,-2.89,0.86429,:g,<0.0001,-12.37,0.76429,:g,<0.0001,-7.31
subject_07_session_01,0.70536,:g,<0.0001,-5.56,0.81607,:g,<0.0001,-9.83,0.78929,:g,<0.0001,-8.78
subject_08_session_01,0.4875,:b,0.62987,0.33,0.89375,:g,<0.0001,-16.12,0.8875,:g,<0.0001,-15.31
subject_09_session_01,0.55,:b,0.09679,-1.3,0.825,:g,<0.0001,-10.95,0.8375,:g,<0.0001,-11.41
subject_10_session_01,0.73125,:g,<0.0001,-6.85,0.8625,:g,<0.0001,-13.24,0.80625,:g,<0.0001,-9.65
