subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.4875,:b,0.6272,0.32,0.70625,:g,<0.0001,-5.65,0.6625,:g,<0.0001,-4.38
subject_02_session_01,0.59375,:n,0.00834,-2.39,0.925,:g,<0.0001,-21.22,0.90625,:g,<0.0001,-17.94
subject_03_session_01,0.45893,:b,0.85035,1.04,0.68393,:g,<0.0001,-4.92,0.43214,:b,0.95676,1.71
subject_05_session_01,0.4,:b,0.99416,2.52,0.825,:g,<0.0001,-10.64,0.6625,:g,<0.0001,-4.31
subject_06_session_01,0.73571,:g,<0.0001,-6.5,0.91429,:g,<0.0001,-17.31,0.9,:g,<0.0001,-15.58
subject_07_session_01,0.72232,:g,<0.0001,-6.4,0.88482,:g,<0.0001,-14.76,0.84464,:g,<0.0001,-11.56
subject_08_session_01,0.4375,:b,0.94823,1.63,0.94375,:g,<0.0001,-24.03,0.925,:g,<0.0001,-20.44
subject_09_session_01,0.57054,:n,0.03166,-1.86,0.79732,:g,<0.0001,-9.58,0.75536,:g,<0.0001,-7.52
subject_10_session_01,0.55625,:b,0.07856,-1.41,0.7,:g,<0.0001,-5.49,0.61875,:g,0.00109,-3.06
