subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.825,:g,<0.0001,-6.17,0.65,:n,0.0305,-1.87,0.675,:n,0.00997,-2.33
subject_02_session_01,0.725,:g,0.00183,-2.91,0.775,:g,<0.0001,-4.11,0.6,:b,0.1375,-1.09
subject_03_session_01,0.825,:g,<0.0001,-5.39,0.875,:g,<0.0001,-7.12,0.75,:g,0.00013,-3.65
subject_04_session_01,0.6,:b,0.08129,-1.4,0.875,:g,<0.0001,-6.7,0.85,:g,<0.0001,-5.36
subject_05_session_01,0.675,:n,0.00766,-2.42,0.7,:g,0.00234,-2.83,0.75,:g,0.00034,-3.4
subject_06_session_01,0.4,:b,0.91363,1.36,0.625,:b,0.23592,-0.72,0.6,:b,0.30488,-0.51
subject_07_session_01,0.975,:g,<0.0001,-19.0,1.0,:g,<0.0001,-Inf,1.0,:g,<0.0001,-Inf
subject_08_session_01,0.875,:g,<0.0001,-7.21,0.95,:g,<0.0001,-12.73,0.8,:g,<0.0001,-5.2
